year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
2010,Get Him To The Greek,1226229.0,870,1,1.0,2.0,39.5,1.0,0.0,2.0,0.0,110.0,70.5
1934,It Happened One Night,25316.0,621,3,1.0,2.0,40.5,1.0,0.0,2.0,0.0,61.0,20.5
1966,La caza,60223.0,7415,0,1.0,2.0,4.0,1.0,0.0,2.0,0.0,5.5,1.5
2013,Moving Mountains,2415174.0,4853,3,-1.0,-1.0,3.0,0.0,1.0,0.0,1.0,15.0,12.0
2011,Page One: Inside the New York Times,1787777.0,2748,1,1.0,0.0,28.0,1.0,0.0,1.0,1.0,34.0,6.0
2021,Army of the Dead,993840.0,10113,3,1.0,3.0,38.0,1.0,0.0,3.0,0.0,85.5,47.5
1986,Chopping Mall,90837.0,8418,3,1.0,2.0,7.0,1.0,0.0,2.0,0.0,16.5,9.5
2012,Savages,1615065.0,3397,3,1.0,4.0,38.5,1.0,0.0,4.0,0.0,59.5,21.0
2013,Vai que da Certo,2220408.0,4126,1,1.0,2.0,6.0,1.0,0.0,2.0,0.0,7.0,1.0
1985,Sans toi ni loi (Vagabond),89960.0,963,3,-1.0,-1.0,13.5,0.0,1.0,0.0,1.0,24.5,11.0
2006,Mukhsin,863091.0,4830,3,-1.0,-1.0,-4.0,0.0,1.0,0.0,1.0,1.0,5.0
1969,"Swimming Pool, The",64816.0,9202,3,1.0,3.0,0.0,1.0,0.0,3.0,0.0,5.0,5.0
2012,Hyde Park on Hudson,1477855.0,3908,2,1.0,1.0,11.0,1.0,0.0,1.0,0.0,24.0,13.0
2012,Wireboy,2678152.0,5657,1,-1.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,3.0
2007,Timecrimes,480669.0,3343,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0
1938,Bluebeard&#39;s Eighth Wife,29929.0,3283,2,1.0,3.0,9.0,1.0,0.0,3.0,0.0,31.0,22.0
2005,Just Like Heaven,425123.0,1396,3,1.0,1.5,15.5,1.0,0.0,2.0,0.5,35.5,20.0
2010,Easy A,1282140.0,1599,3,0.5,1.0,9.0,0.5,0.0,1.0,0.0,30.0,21.0
1960,A bout de souffle,53472.0,799,0,1.0,2.5,20.0,1.0,0.0,2.5,0.0,23.0,3.0
2013,Hross i oss,3074732.0,6100,3,1.0,1.0,5.0,1.0,0.0,1.0,0.0,12.0,7.0
1994,Timecop,111438.0,574,1,1.0,5.0,27.0,1.0,0.0,5.0,0.0,37.0,10.0
